"","Year","Laydate","Individual ID","Breeding experience","Sex","Colour score","Age class","TL","Parasite intensity","Infected","Infection intensity score"
"157","2011","10","253197","2","0","11","3","1.037512111","0.75432526","1","3"
"158","2012","4","253197","2","0","12","3","0.313849887","0.009954932","1","1"
"159","2013","20","253197","2","0","12","3",NA,"0","0","0"
"160","2011","-3","253199","1","1","8","1","0.913908304","0.586405899","1","3"
"161","2012","-4","253199","2","1","9","2","0.165488744","4.087677725","1","5"
"162","2011","0","253200","1","1","12","1","0.478866016","3.470275067","1","5"
"163","2012","4","253200","2","1","13","2","0.394627767","0.314386318","1","3"
"164","2013","20","253200","2","1","12","3","2.268375378","0","0","0"
"165","2011","0","263335","1","1","10","1","3.626477894","0","0","0"
"166","2012","-3","263335","2","1","12","2","0.407215686","0","0","0"
"167","2013","12","263335","2","1","11","3","0.893059376","1.097112118","1","4"
